id,question,expected_intent,actual_intent,expected_route,actual_route,error_type,error
ROUTE008,休学期满后什么时候申请复学？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE009,哪些情况会被退学处理？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE032,毕业论文抽检主要看什么？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE036,课程教学大纲一般包括哪些内容？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE037,实验课有哪些基本纪律和安全要求？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE039,文科实践创新行动方案强调什么培养路径？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE048,如果我是本科生，连续请假超过多久应该办休学？,simple_fact,complex_reasoning,retrieve_local,retrieve_local,意图错误,
ROUTE049,如果我是本科生，休学期满后什么时候申请复学？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE056,如果我是本科生，2018级之前绩点怎么算？,simple_fact,complex_reasoning,retrieve_local,retrieve_local,意图错误,
ROUTE082,课程教学大纲通常包括哪些内容？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE083,如果我是本科生，课程教学大纲一般包括哪些内容？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE084,如果我是本科生，实验课有哪些基本纪律和安全要求？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE094,中国足球的队长是谁？,time_sensitive,ood,retrieve_web,refuse,意图和路径均错误,
ROUTE095,如何预防新冠肺炎？,time_sensitive,simple_fact,retrieve_web,retrieve_local,意图和路径均错误,
ROUTE096,保留学籍期间还交学费吗？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE097,提前毕业还要继续交专业注册学费吗？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE099,学生证补办能不能周末办？,time_sensitive,simple_fact,retrieve_web,retrieve_local,意图和路径均错误,
ROUTE101,毕业论文有学术不端会怎样？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE111,本科毕业论文抽检主要看哪些方面？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE112,哪些行为会影响学士学位授予？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE116,实验课上学生要遵守哪些基本规则？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
ROUTE118,文科实践创新行动方案强调哪些培养路径？,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,
