source_experiment,id,question,method,expected_intent,actual_intent,expected_route,actual_route,error_type,reason,error
e2e_qa,EVAL090,今天明德楼B座自助打印窗口开放吗？,,,,retrieve_web,retrieve_web,答案未通过,semantic_similarity=0.6191422343254089,
e2e_qa,EVAL091,本学期什么时候开始退补选？,,,,retrieve_web,retrieve_web,答案未通过,semantic_similarity=0.5408362150192261,
e2e_qa,EVAL092,本周还能补办学生证吗？,,,,retrieve_web,retrieve_web,答案未通过,semantic_similarity=0.7176429033279419,
e2e_qa,EVAL093,今年文科实践创新大赛什么时候举行？,,,,retrieve_web,retrieve_web,答案未通过,semantic_similarity=0.6075935959815979,
e2e_qa,EVAL094,中国足球的队长是谁？,,,,retrieve_web,refuse,QA 路由错误,"expected_route=retrieve_web, actual_route=refuse",
e2e_qa,EVAL095,如何预防新冠肺炎？,,,,retrieve_web,,执行异常,未能从本地文档中抽取可用证据,未能从本地文档中抽取可用证据
e2e_qa,EVAL095,如何预防新冠肺炎？,,,,retrieve_web,,QA 路由错误,"expected_route=retrieve_web, actual_route=None",未能从本地文档中抽取可用证据
e2e_qa,EVAL095,如何预防新冠肺炎？,,,,retrieve_web,,答案未通过,semantic_similarity=None,未能从本地文档中抽取可用证据
e2e_qa,EVAL095,如何预防新冠肺炎？,,,,retrieve_web,,引用缺失,答案未提供引用或引用列表为空,未能从本地文档中抽取可用证据
e2e_qa,EVAL104,退补选大概在什么时候？,,,,retrieve_web,retrieve_local,QA 路由错误,"expected_route=retrieve_web, actual_route=retrieve_local",
e2e_qa,EVAL114,混合式教学申报表里需要写哪些线上考核环节？,,,,retrieve_local,,执行异常,未能从本地文档中抽取可用证据,未能从本地文档中抽取可用证据
e2e_qa,EVAL114,混合式教学申报表里需要写哪些线上考核环节？,,,,retrieve_local,,QA 路由错误,"expected_route=retrieve_local, actual_route=None",未能从本地文档中抽取可用证据
e2e_qa,EVAL114,混合式教学申报表里需要写哪些线上考核环节？,,,,retrieve_local,,答案未通过,semantic_similarity=None,未能从本地文档中抽取可用证据
e2e_qa,EVAL114,混合式教学申报表里需要写哪些线上考核环节？,,,,retrieve_local,,引用缺失,答案未提供引用或引用列表为空,未能从本地文档中抽取可用证据
e2e_qa,EVAL115,文科实践创新行动方案什么时候全面提升？,,,,retrieve_web,retrieve_local,QA 路由错误,"expected_route=retrieve_web, actual_route=retrieve_local",
e2e_qa,EVAL137,文科及社科类学生必须修哪些通识核心课学分？,,,,retrieve_local,retrieve_local,答案未通过,semantic_similarity=0.6582008004188538,
route,ROUTE008,休学期满后什么时候申请复学？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
route,ROUTE009,哪些情况会被退学处理？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
route,ROUTE032,毕业论文抽检主要看什么？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
route,ROUTE036,课程教学大纲一般包括哪些内容？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
route,ROUTE037,实验课有哪些基本纪律和安全要求？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
route,ROUTE039,文科实践创新行动方案强调什么培养路径？,,complex_reasoning,simple_fact,retrieve_local,retrieve_local,意图错误,"expected_intent=complex_reasoning, actual_intent=simple_fact; expected_route=retrieve_local, actual_route=retrieve_local",
