id,question,expected_behavior,actual_intent,actual_route,ok,behavior_ok,answer,error
OOD001,中国足球的队长是谁？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD002,如何预防新冠肺炎？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD003,明天济南天气怎么样？,reject_or_web,time_sensitive,retrieve_web,False,True,"明天（28日）济南天气为多云，气温10~20℃，北风3-5级。 [1][4]
联网证据未提及济南天气业务是否开放，无法确认。 [1][2][3][4][5]",
OOD004,苹果公司现任CEO是谁？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD005,比特币现在多少钱？,reject_or_web,time_sensitive,retrieve_web,False,True,"比特币当前价格约为76,951.59美元（Binance数据），但不同平台存在差异，如Bitget显示78,194.06美元，TradingView显示68,799美元。业务开放方面，Coinbase、Bitget、Binance等交易所均可购买比特币，业务正常开放。 [1][2][3][4][5]",
OOD006,给我推荐一款游戏本,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD007,交通事故如何处理？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD008,如何办理护照？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD009,高血压吃什么药？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD010,Python怎么安装？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD011,今天黄金价格多少？,reject_or_web,time_sensitive,retrieve_web,False,True,根据联网证据，今日（2026-04-27）黄金零售价方面，周大福为1442元/克，六福珠宝为1440元/克，菜百首饰为1415元/克，金至尊为1440元/克，老凤祥为1442元/克，周生生为1436元/克，老庙黄金为1443元/克。国际黄金现货价格为4711.26美元/盎司（约1034.01元/克），上海黄金现货价格为1037.69元/克。黄金期货开盘价为4715.60，最新报4740.90。 [1][2][4],
OOD012,ChatGPT是什么？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD013,中国高铁最高时速是多少？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD014,最近有什么热门电影？,reject_or_web,time_sensitive,retrieve_web,False,True,根据联网证据，近期热门电影包括2025年5月至6月上映的《雷霆特攻队》《碟中谍8：最终清算》《功夫梦：融合之道》等，以及2026年上映的《木乃伊》《玩具总动员5》等。 [1][2][4],
OOD015,怎么考驾照？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD016,美国总统是谁？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD017,端午节股市休市吗？,reject_or_web,time_sensitive,retrieve_web,False,True,2025年端午节期间，A股市场（上交所、深交所、北交所）于5月31日（星期六）至6月2日（星期一）休市，6月3日（星期二）起照常开市。 [1][2][5],
OOD018,考研英语该怎么复习？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
