id,question,ground_truth,method,rank,semantic_similarity_to_ground_truth,doc_key,title,source_file,source_type,page,chunk_id,doc_id,retrieval_time_sec,human_support_label,human_note
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,bm25_only,1,0.874393,faq:FAQ046|data\faq_database.json|None|46|235,FAQ FAQ046,data\faq_database.json,faq_json,,46,faq:FAQ046,0.001879,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,bm25_only,2,0.97207,faq:FAQ008|data\faq_database.json|None|8|197,FAQ FAQ008,data\faq_database.json,faq_json,,8,faq:FAQ008,0.001879,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,bm25_only,3,0.807665,服务流程-学籍异动.pdf:4:1|data\kb_docs\服务流程-学籍异动.pdf|4|1|95,服务流程-学籍异动,data\kb_docs\服务流程-学籍异动.pdf,pdf,4,1,服务流程-学籍异动.pdf:4:1,0.001879,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,bm25_only,4,0.692251,faq:FAQ043|data\faq_database.json|None|43|232,FAQ FAQ043,data\faq_database.json,faq_json,,43,faq:FAQ043,0.001879,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,bm25_only,5,0.837286,faq:FAQ009|data\faq_database.json|None|9|198,FAQ FAQ009,data\faq_database.json,faq_json,,9,faq:FAQ009,0.001879,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,faiss_only,1,0.97207,faq:FAQ008|data\faq_database.json|None|8|197,FAQ FAQ008,data\faq_database.json,faq_json,,8,faq:FAQ008,0.468392,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,faiss_only,2,0.874393,faq:FAQ046|data\faq_database.json|None|46|235,FAQ FAQ046,data\faq_database.json,faq_json,,46,faq:FAQ046,0.468392,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,faiss_only,3,0.871469,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:2|data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf|4|2|84,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）,data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf,pdf,4,2,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:2,0.468392,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,faiss_only,4,0.805525,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:1|data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf|4|1|83,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）,data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf,pdf,4,1,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:1,0.468392,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,faiss_only,5,0.791036,faq:FAQ001|data\faq_database.json|None|1|190,FAQ FAQ001,data\faq_database.json,faq_json,,1,faq:FAQ001,0.468392,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid,1,0.97207,faq:FAQ008|data\faq_database.json|None|8|197,FAQ FAQ008,data\faq_database.json,faq_json,,8,faq:FAQ008,0.128267,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid,2,0.874393,faq:FAQ046|data\faq_database.json|None|46|235,FAQ FAQ046,data\faq_database.json,faq_json,,46,faq:FAQ046,0.128267,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid,3,0.805525,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:1|data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf|4|1|83,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）,data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf,pdf,4,1,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:1,0.128267,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid,4,0.871469,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:2|data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf|4|2|84,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）,data\kb_docs\山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf,pdf,4,2,山东大学本科学生学籍管理规定（山大教字〔2023〕17号）.pdf:4:2,0.128267,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid,5,0.807665,服务流程-学籍异动.pdf:4:1|data\kb_docs\服务流程-学籍异动.pdf|4|1|95,服务流程-学籍异动,data\kb_docs\服务流程-学籍异动.pdf,pdf,4,1,服务流程-学籍异动.pdf:4:1,0.128267,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid_rerank,1,0.97207,faq:FAQ008|data\faq_database.json|None|8|197,FAQ FAQ008,data\faq_database.json,faq_json,,8,faq:FAQ008,20.650654,,
EVAL008,休学期满后什么时候申请复学？,学生休学或保留学籍期满，需要申请复学的，应当在休学期满前一个月提交复学申请；如复学时间在学期中导致无法完成当学期学习任务，可以申请延后至下一学期开学时复学。,hybrid_rerank,2,0.874393,faq:FAQ046|data\faq_database.json|None|46|235,FAQ FAQ046,data\faq_database.json,faq_json,,46,faq:FAQ046,20.650654,,
