id,question,expected_behavior,actual_intent,actual_route,error_type,error
OOD002,如何预防新冠肺炎？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD007,交通事故如何处理？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD008,如何办理护照？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD013,中国高铁最高时速是多少？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD015,怎么考驾照？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD016,美国总统是谁？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD021,世界杯什么时候开始？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD022,北京地铁几点停运？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD025,医保报销比例是多少？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD026,什么是量子计算？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD028,新能源汽车购置税政策是什么？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD031,大学英语六级什么时候报名？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD032,考研国家线是多少？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD033,教师资格证怎么报名？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD034,公务员考试什么时候出公告？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD035,普通话考试怎么报名？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD036,校园食堂哪家最好吃？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD037,宿舍能不能养猫？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD038,校园网怎么开游戏加速？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD039,图书馆周末几点开门？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD040,学校快递站几点关门？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD042,如何办理签证？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD045,Java和Python哪个好学？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD047,山东大学校医院几点开门？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD051,火车票候补怎么买？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD053,微信提现手续费是多少？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD054,社保断缴怎么办？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
OOD055,怎么查询个人征信？,reject_or_web,,,执行异常,未能从本地文档中抽取可用证据
